draws,losses,wins,games_played,bigbuyplayername,bigsellplayername,leagueobjectiveresult,continentalcuptrophies,season,bigsellamount,leaguetrophies,domestic_cup_result,domesticcuptrophies,leagueid,bigbuyamount,leagueobjective,domestic_cup_objective,europe_cup_objective,artificialkey,teamid,goals_for,points,tableposition,forfeits,goals_against,europe_cup_result
10,8,42,60,,Ikpeazu,2,0,1,900000,1,2,1,61,0,6,2,-1,0,1944,149,136,1,0,54,-1
13,9,61,83,,Mason,2,0,2,21100000,1,2,1,60,0,0,3,6,1,1944,180,190,1,0,74,2
10,10,51,71,Mattheij,Hughes,2,1,3,50200000,1,1,0,14,0,0,5,7,2,1944,164,164,1,0,62,2
10,16,38,64,Cardona Rovira,Rose,2,0,4,110900000,0,1,0,13,65300000,1,7,6,3,1944,148,126,4,0,78,1
10,6,34,50,Mbappé,Richardson,0,0,5,120300000,0,-1,1,13,125000000,0,7,7,4,1944,115,110,0,0,46,-1
